"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"FF","2017-05-17","92.1","1.1216","6.3785","Clayton Kershaw",491676,477132,"null","called_strike",,,,,"5","null","R","R","L","SF","LAD","S","null","null",0,0,2017,"-0.3340","2.2173","-0.1877","2.5224","null","null","null",1,6,"Bot","null","null",,,518735,,"170517_212635",,,,,,,"3.4110","1.5650","null","null","null","91.1130","2327","5.9220",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.5794","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.2","1.1144","6.3009","Clayton Kershaw",605412,477132,"field_out","hit_into_play",,,,,"9","Joe Panik pops out to third baseman Justin Turner in foul territory.  ","R","L","L","SF","LAD","X","5","popup",2,1,2017,"-0.1295","1.8344","0.3313","2.1217","null","null","null",0,6,"Bot","90.30","179.75",,,518735,,"170517_212557",,,,,,,"3.4110","1.5650","null","80.0","69.0000","92.4700","2270","6.0370",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4644","0.000","0.001","0.00",1,0,0
"SL","2017-05-17","83.3","1.2012","6.4922","Clayton Kershaw",605412,477132,"null","ball",,,,,"11","null","R","L","L","SF","LAD","B","null","null",1,1,2017,"0.2730","0.5498","-0.3964","3.9099","null","null","null",0,6,"Bot","null","null",,,518735,,"170517_212540",,,,,,,"3.4110","1.5650","null","null","null","82.4720","2394","5.5930",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.9084","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.3","1.2058","6.2649","Clayton Kershaw",605412,477132,"null","ball",,,,,"14","null","R","L","L","SF","LAD","B","null","null",0,1,2017,"-0.3612","2.0056","1.2425","0.7625","null","null","null",0,6,"Bot","null","null",,,518735,,"170517_212521",,,,,,,"3.4110","1.5650","null","null","null","91.5670","2249","6.0280",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4730","0.000","0.000","null","null","null","null"
"FF","2017-05-17","92.7","1.3016","6.2536","Clayton Kershaw",605412,477132,"null","called_strike",,,,,"7","null","R","L","L","SF","LAD","S","null","null",0,0,2017,"-0.2742","2.0234","-0.5096","1.7377","null","null","null",0,6,"Bot","null","null",,,518735,,"170517_212506",,,,,,,"3.4110","1.5650","null","null","null","92.7200","2246","6.4230",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.0777","0.000","0.000","null","null","null","null"
"SL","2017-05-17","86.3","0.9620","6.5915","Clayton Kershaw",607776,477132,"strikeout","swinging_strike",,,,,"13","Mac Williamson strikes out swinging.  ","R","R","L","SF","LAD","S","null","null",1,2,2017,"0.3540","0.6812","-1.2896","2.4120","null","null","null",2,5,"Bot","null","null",,,518735,,"170517_210214",,,,,,,"3.5750","1.6810","null","null","null","85.4810","2428","5.6780",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.8233","0.000","0.000","0.00",1,0,0
"FF","2017-05-17","94.1","1.1884","6.2546","Clayton Kershaw",607776,477132,"null","called_strike",,,,,"13","null","R","R","L","SF","LAD","S","null","null",1,1,2017,"-0.1773","1.9763","-0.5653","1.4497","null","null","null",2,5,"Bot","null","null",,,518735,,"170517_210154",,,,,,,"3.5750","1.6810","null","null","null","93.5930","2199","6.1940",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.3068","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.7","1.0778","6.2766","Clayton Kershaw",607776,477132,"null","swinging_strike",,,,,"13","null","R","R","L","SF","LAD","S","null","null",1,0,2017,"-0.1065","2.1291","-0.5794","1.2038","null","null","null",2,5,"Bot","null","null",,,"null",,"170517_210137",,,,,,,"3.5750","1.6810","null","null","null","null","2287","6.2498",490698,"null","null","null","null","null","null","null","null","null","54.2518","0.000","0.000","null","null","null","null"
"SL","2017-05-17","89.5","1.0968","6.4145","Clayton Kershaw",607776,477132,"null","ball",,,,,"14","null","R","R","L","SF","LAD","B","null","null",0,0,2017,"0.2227","1.0392","0.3866","-0.1887","null","null","null",2,5,"Bot","null","null",,,518735,,"170517_210118",,,,,,,"3.5750","1.6810","null","null","null","88.3890","2391","5.7680",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.7332","0.000","0.000","null","null","null","null"
"SL","2017-05-17","89.8","1.1566","6.2721","Clayton Kershaw",434604,477132,"strikeout","swinging_strike",,,,,"9","Michael Morse strikes out swinging.  ","R","R","L","SF","LAD","S","null","null",1,2,2017,"0.2413","0.8199","0.2795","1.5762","null","null","null",1,5,"Bot","null","null",,,518735,,"170517_210050",,,,,,,"3.5750","1.6810","null","null","null","88.6310","2411","5.6290",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.8722","0.000","0.000","0.00",1,0,0
"CU","2017-05-17","74.5","0.5501","6.5666","Clayton Kershaw",434604,477132,"null","foul",,,,,"13","null","R","R","L","SF","LAD","S","null","null",1,2,2017,"0.0767","-0.9123","-0.4838","1.5341","null","null","null",1,5,"Bot","null","null",,,518735,,"170517_210024",,,,,,,"3.5750","1.6810","null","null","null","73.4330","2190","5.7400",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.7615","0.000","0.000","null","null","null","null"
"FF","2017-05-17","94.6","2.7826","5.4520","Clayton Kershaw",434604,477132,"null","ball",,,,,"12","null","R","R","L","SF","LAD","B","null","null",0,2,2017,"-1.2664","1.4026","1.8181","2.9469","null","null","null",1,5,"Bot","null","null",,,518735,,"170517_210005",,,,,,,"3.5750","1.6810","null","null","null","93.7720","2314","5.9030",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.5982","0.000","0.000","null","null","null","null"
"FF","2017-05-17","94.1","1.1112","6.2550","Clayton Kershaw",434604,477132,"null","foul",,,,,"13","null","R","R","L","SF","LAD","S","null","null",0,1,2017,"0.0291","1.7607","-0.8827","2.2887","null","null","null",1,5,"Bot","null","null",,,518735,,"170517_205918",,,,,,,"3.5750","1.6810","null","null","null","94.2470","2426","6.4900",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.0111","0.000","0.000","null","null","null","null"
"FF","2017-05-17","93.1","1.0480","6.2603","Clayton Kershaw",434604,477132,"null","foul",,,,,"5","null","R","R","L","SF","LAD","S","null","null",0,0,2017,"0.0376","1.8388","-0.0039","2.6867","null","null","null",1,5,"Bot","null","null",,,518735,,"170517_205858",,,,,,,"3.5750","1.6810","null","null","null","92.5320","2336","6.0950",490698,477132,518735,400284,621035,457759,608369,641355,592626,624577,"54.4061","0.000","0.000","null","null","null","null"
"null","2017-05-17","null","null","null","Clayton Kershaw",457763,477132,"field_out","hit_into_play",,,,,"null","Buster Posey pops out to shortstop Corey Seager.  ","R","R","L","SF","LAD","X","6","popup",2,2,2017,"null","null","null","null","null","null","null",0,5,"Bot","108.07","142.13",,,"null",,"null",,,,,,,"null","null","null","80.0","69.0000","null","null","null",490698,"null","null","null","null","null","null","null","null","null","null","0.000","0.001","0.00",1,0,0
